condition,speed_cm_s,trial,success,lift_mm,pos_err_mm,ori_err_deg,approach_mm,progress_pct,main_failure,n_attempts
static_replay,2.0,1,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,2,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,3,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,4,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,5,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,6,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,7,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,8,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,9,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,10,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,11,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,12,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,13,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,14,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,15,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,16,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,17,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,18,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,19,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,20,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
dynamic_tau0,2.0,1,1,95.902,0.340,2.065,0.315,91.995,none,3
dynamic_tau0,2.0,2,1,131.848,1.005,1.758,1.045,96.178,none,1
dynamic_tau0,2.0,3,1,94.492,0.480,1.922,12.400,92.544,none,3
dynamic_tau0,2.0,4,1,251.687,0.807,5.374,0.931,96.630,none,1
dynamic_tau0,2.0,5,0,-0.010,inf,inf,inf,82.136,attempt_limit,3
dynamic_tau0,2.0,6,0,109.867,1.332,2.915,26.247,95.049,approach,2
dynamic_tau0,2.0,7,0,-0.010,inf,inf,inf,84.675,attempt_limit,3
