condition,speed_cm_s,trial,seed,tau,success,lift_mm,mean_tracking_error_pre_contact_mm,mean_tracking_error_after_warmup_mm,contact_tracking_error_mm,max_tracking_error_mm,object_estimation_error_xy_mm,object_estimation_error_theta_deg,target_to_desired_demo_frame_error_xy_mm,target_to_object_contact_offset_error_mm,ee_to_target_error_xy_mm,ee_to_target_error_3d_mm,mean_ee_to_target_error_pre_contact_mm,mean_ee_to_target_error_contact_window_mm,max_ee_to_target_error_mm,contact_window_ee_to_object_xy_mm,contact_window_ee_to_target_xy_mm,contact_window_target_to_object_xy_mm,gripper_close_sim_t,gripper_close_t_demo,contact_position_error_mm,orientation_error_deg,approach_error_mm,progress_pct,main_failure,n_attempts,runtime_s
static_replay,2.000,1,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.016,1.004,9.234,1.004,0.062,21.500,150.037,0.062,150.020,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.905
static_replay,2.000,2,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.017,1.004,9.234,1.004,0.062,21.500,150.039,0.062,150.021,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.827
static_replay,2.000,3,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.019,1.004,9.234,1.004,0.062,21.500,150.042,0.062,150.023,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.820
static_replay,2.000,4,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.020,1.004,9.234,1.004,0.062,21.500,150.045,0.062,150.024,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.835
static_replay,2.000,5,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.021,1.004,9.234,1.004,0.062,21.500,150.047,0.062,150.025,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.867
static_replay,2.000,6,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.022,1.004,9.234,1.004,0.062,21.500,150.050,0.062,150.026,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.882
static_replay,2.000,7,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.023,1.004,9.234,1.004,0.062,21.500,150.052,0.062,150.028,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.875
static_replay,2.000,8,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.025,1.004,9.234,1.004,0.062,21.500,150.055,0.062,150.029,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.864
static_replay,2.000,9,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.026,1.004,9.234,1.004,0.062,21.500,150.057,0.062,150.030,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.864
static_replay,2.000,10,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.027,1.004,9.234,1.004,0.062,21.500,150.060,0.062,150.031,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.889
