condition,speed_cm_s,trial,success,lift_mm,pos_err_mm,ori_err_deg,approach_mm,progress_pct,main_failure,n_attempts
Static baseline,2.0,1,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,2,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,3,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,4,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,5,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,6,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,7,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,8,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,9,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,2.0,10,1,95.192,0.016,0.312,0.065,100.000,none,1
Moving object,2.0,1,0,-0.010,inf,inf,inf,81.527,attempt_limit,3
Moving object,2.0,2,1,131.848,1.005,1.758,1.045,96.178,none,1
Moving object,2.0,3,0,-0.010,inf,inf,inf,84.109,attempt_limit,3
Moving object,2.0,4,1,251.687,0.807,5.374,0.931,96.630,none,1
Moving object,2.0,5,0,-0.010,inf,inf,inf,80.302,attempt_limit,3
Moving object,2.0,6,1,101.633,0.351,4.305,0.634,96.631,none,1
Moving object,2.0,7,0,-0.010,inf,inf,inf,84.675,attempt_limit,3
Moving object,2.0,8,0,-0.010,inf,inf,inf,88.643,attempt_limit,3
Moving object,2.0,9,0,-0.010,inf,inf,inf,88.257,attempt_limit,3
Moving object,2.0,10,0,-0.010,inf,inf,inf,85.390,attempt_limit,3
Static baseline,4.0,1,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,2,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,3,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,4,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,5,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,6,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,7,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,8,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,9,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,4.0,10,1,95.192,0.016,0.312,0.065,100.000,none,1
Moving object,4.0,1,1,108.788,2.147,18.078,2.068,93.235,none,3
Moving object,4.0,2,1,115.610,2.543,19.616,2.445,93.215,none,3
Moving object,4.0,3,1,278.166,1.854,1.844,1.879,66.411,none,1
Moving object,4.0,4,0,-0.010,inf,inf,inf,87.529,attempt_limit,3
Moving object,4.0,5,1,108.758,2.098,17.765,2.035,95.190,none,3
Moving object,4.0,6,1,108.041,1.081,16.026,17.333,94.167,none,3
Moving object,4.0,7,1,319.461,2.003,0.759,2.044,50.567,none,1
Moving object,4.0,8,1,348.878,2.682,3.449,2.723,38.041,none,1
Moving object,4.0,9,1,102.208,1.898,16.741,18.170,94.163,none,3
Moving object,4.0,10,0,106.012,2.267,20.400,2.160,95.279,orientation,3
Static baseline,6.0,1,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,2,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,3,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,4,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,5,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,6,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,7,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,8,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,9,1,95.192,0.016,0.312,0.065,100.000,none,1
Static baseline,6.0,10,1,95.192,0.016,0.312,0.065,100.000,none,1
Moving object,6.0,1,1,111.775,1.741,18.850,14.486,93.818,none,2
Moving object,6.0,2,1,347.318,3.113,7.754,3.141,38.282,none,1
